id,bodyType,color,engineDisplacement,enginePower,fuelType,mileage,numberOfDoors,productionDate,transmission,ownersNumber,drive,state,source,price,new,dublicate_ptc,no_ptc,original_ptc
13229,седан,чёрный,4.4,333.0,бензин,249646.0,4.0,2003.0,1.0,4.0,0,1.0,avito,424000.0,0,0,0,1
13230,купе,синий,1.8,140.0,бензин,1000.0,2.0,1993.0,0.0,4.0,0,1.0,avito,799000.0,0,0,0,1
13231,седан,белый,2.0,245.0,бензин,229600.0,4.0,2011.0,1.0,4.0,0,1.0,avito,1070000.0,0,0,0,1
13232,внедорожник,синий,4.4,555.0,бензин,74760.0,5.0,2013.0,1.0,2.0,1,1.0,avito,1590000.0,0,0,0,1
13233,хетчбек,белый,1.6,115.0,бензин,72000.0,5.0,2011.0,1.0,3.0,0,1.0,avito,530000.0,0,0,0,1
13234,седан,чёрный,2.0,150.0,бензин,250000.0,4.0,1995.0,0.0,4.0,0,1.0,avito,130000.0,0,0,0,1
13235,внедорожник,серебристый,0.0,170.0,электро,49000.0,5.0,2014.0,1.0,1.0,0,1.0,avito,1550000.0,0,0,0,1
13236,седан,синий,2.5,170.0,бензин,200000.0,4.0,1998.0,1.0,4.0,0,1.0,avito,199999.0,0,0,0,1
13237,внедорожник,серый,2.0,184.0,дизель,133478.0,5.0,2014.0,1.0,4.0,1,1.0,avito,1215000.0,0,0,0,1
13238,внедорожник,белый,3.0,306.0,бензин,95000.0,5.0,2013.0,1.0,1.0,1,1.0,avito,1850000.0,0,0,0,1
13239,хетчбек,чёрный,2.0,249.0,бензин,0.0,5.0,2020.0,1.0,,0,1.0,avito,4320000.0,1,0,1,0
13240,седан,чёрный,2.0,190.0,дизель,0.0,4.0,2020.0,1.0,,1,1.0,avito,3088209.0,1,0,1,0
13241,хетчбек,чёрный,2.0,190.0,дизель,0.0,5.0,2020.0,1.0,,1,1.0,avito,4813600.0,1,0,1,0
13242,седан,белый,1.5,136.0,бензин,24350.0,4.0,2018.0,1.0,1.0,0,1.0,avito,1535000.0,0,0,0,1
13243,внедорожник,синий,2.0,192.0,бензин,46239.0,5.0,2018.0,1.0,1.0,1,1.0,avito,2063000.0,0,0,0,1
13244,седан,чёрный,4.4,530.0,бензин,8929.0,4.0,2019.0,1.0,1.0,1,1.0,avito,7159000.0,0,0,0,1
13245,внедорожник,белый,3.0,272.0,бензин,181154.0,5.0,2008.0,1.0,3.0,1,1.0,avito,788000.0,0,0,0,1
13246,внедорожник,чёрный,3.0,306.0,бензин,182485.0,5.0,2011.0,1.0,2.0,1,1.0,avito,1069000.0,0,0,0,1
13247,внедорожник,чёрный,3.0,400.0,дизель,3880.0,5.0,2019.0,1.0,1.0,1,1.0,avito,8690000.0,0,0,0,1
13248,седан,чёрный,3.0,249.0,дизель,20990.0,4.0,2019.0,1.0,1.0,1,1.0,avito,3599000.0,0,0,0,1
13249,седан,чёрный,3.0,258.0,дизель,118000.0,4.0,2011.0,1.0,3.0,1,1.0,avito,1049000.0,0,0,0,1
13250,внедорожник,серый,2.0,150.0,дизель,0.0,5.0,2020.0,1.0,,1,1.0,avito,2259000.0,1,0,1,0
13251,седан,чёрный,4.4,450.0,бензин,133000.0,4.0,2012.0,1.0,4.0,1,1.0,avito,990000.0,0,0,0,1
13252,внедорожник,белый,3.0,286.0,дизель,171300.0,5.0,2010.0,1.0,2.0,1,1.0,avito,1410000.0,0,0,0,1
13253,внедорожник,чёрный,3.0,231.0,бензин,330000.0,5.0,2005.0,1.0,4.0,1,1.0,avito,650000.0,0,0,0,1
13254,внедорожник,серый,3.0,306.0,дизель,166000.0,5.0,2011.0,1.0,3.0,1,1.0,avito,1350000.0,0,0,0,1
13255,внедорожник,чёрный,4.4,286.0,бензин,307000.0,5.0,2001.0,1.0,4.0,1,1.0,avito,330000.0,0,0,0,1
13256,седан,чёрный,4.4,407.0,бензин,129612.0,4.0,2009.0,1.0,2.0,1,1.0,avito,1090000.0,0,0,0,1
13257,седан,серебристый,1.8,115.0,бензин,276252.0,4.0,1997.0,0.0,4.0,0,1.0,avito,135000.0,0,0,0,1
13258,хетчбек,чёрный,2.0,249.0,бензин,0.0,5.0,2020.0,1.0,,0,1.0,avito,4366400.0,1,0,1,0
13259,седан,синий,2.0,184.0,дизель,130000.0,4.0,2012.0,1.0,4.0,0,1.0,avito,1200000.0,0,0,0,1
