bodyType,color,engineDisplacement,enginePower,fuelType,mileage,numberOfDoors,productionDate,transmission,ownersNumber,drive,state,price,new,dublicate_ptc,no_ptc,original_ptc
седан,чёрный,3.0,245.0,дизель,124578.0,4.0,2011.0,1.0,1.0,0,1.0,1419000.0,0,0,0,1
внедорожник,зелёный,3.0,286.0,дизель,202000.0,5.0,2009.0,1.0,3.0,1,1.0,1585000.0,0,0,0,1
внедорожник,чёрный,3.0,306.0,бензин,147000.0,5.0,2013.0,1.0,1.0,1,1.0,1390000.0,0,0,0,1
внедорожник,чёрный,3.0,249.0,дизель,0.0,5.0,2019.0,1.0,,1,1.0,7544700.0,0,0,0,1
хетчбек,красный,1.6,115.0,бензин,130000.0,5.0,2010.0,1.0,3.0,0,1.0,527000.0,0,0,0,1
седан,чёрный,2.0,156.0,бензин,173000.0,4.0,2008.0,0.0,3.0,0,1.0,530000.0,0,1,0,0
внедорожник,белый,2.0,177.0,дизель,143000.0,5.0,2011.0,1.0,2.0,1,1.0,800000.0,0,0,0,1
седан,белый,2.0,184.0,бензин,0.0,4.0,2020.0,1.0,,0,1.0,3022500.0,1,0,0,1
седан,белый,2.0,136.0,бензин,146325.0,4.0,2007.0,1.0,2.0,0,1.0,386000.0,0,0,0,1
седан,коричневый,2.0,249.0,бензин,104000.0,4.0,2017.0,1.0,1.0,1,1.0,2500000.0,0,0,0,1
седан,чёрный,2.0,190.0,дизель,209000.0,4.0,2016.0,1.0,2.0,0,1.0,1280000.0,0,0,0,1
внедорожник,чёрный,3.0,245.0,дизель,248000.0,5.0,2012.0,1.0,3.0,1,1.0,1390000.0,0,0,0,1
внедорожник,коричневый,2.0,184.0,бензин,0.0,5.0,2019.0,1.0,,1,1.0,3150000.0,0,0,0,1
внедорожник,серый,2.0,245.0,бензин,90000.0,5.0,2017.0,1.0,2.0,1,1.0,2000000.0,0,0,0,1
седан,чёрный,3.0,249.0,дизель,12000.0,4.0,2018.0,1.0,1.0,1,1.0,4200000.0,0,0,0,1
седан,белый,3.0,249.0,дизель,88134.0,4.0,2017.0,1.0,2.0,1,1.0,2850000.0,0,0,0,1
седан,коричневый,3.0,249.0,дизель,500.0,4.0,2019.0,1.0,1.0,1,1.0,4118097.0,0,0,0,1
седан,чёрный,2.0,190.0,дизель,139996.0,4.0,2017.0,1.0,1.0,1,1.0,2197000.0,0,0,0,1
седан,коричневый,3.0,249.0,дизель,0.0,4.0,2020.0,1.0,,1,1.0,4974849.0,1,0,0,1
седан,коричневый,2.0,184.0,бензин,35300.0,4.0,2017.0,1.0,1.0,0,1.0,1475000.0,0,0,0,1
внедорожник,синий,2.0,184.0,бензин,143000.0,5.0,2012.0,1.0,1.0,1,1.0,745000.0,0,0,0,1
внедорожник,коричневый,3.0,340.0,бензин,0.0,5.0,2020.0,1.0,,1,1.0,5780000.0,1,0,0,1
открытый,чёрный,3.0,258.0,бензин,72000.0,2.0,2009.0,1.0,3.0,0,1.0,1470000.0,0,0,0,1
внедорожник,синий,3.0,306.0,бензин,160000.0,5.0,2009.0,1.0,3.0,1,1.0,1230000.0,0,0,0,1
седан,синий,2.0,156.0,бензин,250000.0,4.0,2008.0,1.0,3.0,0,1.0,470000.0,0,1,0,0
внедорожник,чёрный,3.0,400.0,дизель,0.0,5.0,2019.0,1.0,,1,1.0,9350000.0,0,0,0,1
внедорожник,серый,3.0,306.0,бензин,112000.0,5.0,2011.0,1.0,3.0,1,1.0,1249000.0,0,0,0,1
купе,чёрный,3.0,313.0,дизель,31848.0,2.0,2015.0,1.0,1.0,1,1.0,2750000.0,0,0,0,1
седан,чёрный,2.0,184.0,бензин,136449.0,4.0,2013.0,1.0,3.0,0,1.0,987000.0,0,0,0,1
внедорожник,белый,3.0,340.0,бензин,0.0,5.0,2020.0,1.0,,1,1.0,5780000.0,1,0,0,1
внедорожник,чёрный,2.0,184.0,дизель,122350.0,5.0,2013.0,1.0,1.0,1,1.0,1370000.0,0,0,0,1
седан,белый,2.0,190.0,дизель,33576.0,4.0,2016.0,1.0,2.0,0,1.0,1597000.0,0,0,0,1
седан,чёрный,2.0,136.0,бензин,86403.0,4.0,2011.0,1.0,2.0,0,1.0,729000.0,0,0,0,1
седан,белый,3.0,249.0,дизель,4647.0,4.0,2019.0,1.0,1.0,1,1.0,3949000.0,0,0,0,1
седан,чёрный,2.0,190.0,дизель,0.0,4.0,2020.0,1.0,,0,1.0,3171300.0,1,0,0,1
внедорожник,чёрный,3.0,249.0,дизель,15888.0,5.0,2019.0,1.0,1.0,1,1.0,4050000.0,0,0,0,1
седан,коричневый,4.4,462.0,бензин,2705.0,4.0,2019.0,1.0,1.0,1,1.0,5450000.0,0,0,0,1
седан,коричневый,2.0,190.0,дизель,0.0,4.0,2020.0,1.0,,1,1.0,3468900.0,1,0,0,1
внедорожник,серый,3.0,231.0,бензин,335000.0,5.0,2006.0,1.0,3.0,1,1.0,625000.0,0,0,0,1
внедорожник,чёрный,4.8,355.0,бензин,183000.0,5.0,2007.0,1.0,3.0,1,1.0,900000.0,0,0,0,1
внедорожник,чёрный,3.0,249.0,дизель,84000.0,5.0,2015.0,1.0,1.0,1,1.0,2550000.0,0,0,0,1
внедорожник,чёрный,3.0,249.0,дизель,16250.0,5.0,2019.0,1.0,1.0,1,1.0,6500000.0,0,0,0,1
внедорожник,чёрный,3.0,249.0,дизель,0.0,5.0,2020.0,1.0,,1,1.0,4465000.0,1,0,0,1
седан,чёрный,2.0,184.0,бензин,22147.0,4.0,2015.0,1.0,1.0,0,1.0,1400000.0,0,0,0,1
