id,engineDisplacement,enginePower,mileage,numberOfDoors,внедорожник,компактвэн,купе,лифтбек,минивэн,открытый,седан,универсал,хетчбек,белый,бордовый,голубой,жёлтый,зелёный,золотистый,золотой,коричневый,красный,оранжевый,пурпурный,розовый,серебристый,серый,синий,фиолетовый,чёрный,бензин,гибрид,дизель,электро,productionDate,ownersNumber,drive,steeringWheelSide,source,price,new,automatic,mechanical,robot,dublicate_ptc,no_ptc,original_ptc,crashed_car,excellent_state_or_new,good_state
25,3.0,340.0,0.0,5.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2019.0,,2,0.0,auto_ru,6080000.0,0,1,0,0,0,0,1,0,0,1
26,4.4,450.0,131000.0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2013.0,1.0,2,0.0,auto_ru,1090000.0,0,1,0,0,0,0,1,0,0,1
27,3.0,249.0,43786.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2018.0,1.0,2,0.0,auto_ru,3299000.0,0,1,0,0,0,0,1,0,0,1
28,3.0,218.0,102000.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2017.0,2.0,2,0.0,auto_ru,2480000.0,0,1,0,0,0,0,1,0,0,1
29,3.0,258.0,150000.0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2010.0,2.0,1,0.0,auto_ru,1100000.0,0,1,0,0,0,0,1,0,0,1
30,2.0,231.0,0.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2020.0,,2,0.0,auto_ru,4990000.0,1,1,0,0,0,0,1,0,0,1
31,2.0,190.0,145000.0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2017.0,2.0,1,0.0,auto_ru,1650000.0,0,1,0,0,0,0,1,0,0,1
32,3.0,320.0,47000.0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2018.0,1.0,2,0.0,auto_ru,4150000.0,0,1,0,0,0,0,1,0,0,1
33,2.0,184.0,70816.0,5.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012.0,3.0,2,0.0,auto_ru,960000.0,0,1,0,0,0,0,1,0,0,1
34,4.4,560.0,67500.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2012.0,3.0,1,0.0,auto_ru,2900000.0,0,0,0,1,0,0,1,0,0,1
35,3.0,340.0,0.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2020.0,,2,0.0,auto_ru,5780000.0,1,1,0,0,0,0,1,0,0,1
36,3.0,340.0,0.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2020.0,,2,0.0,auto_ru,7340000.0,1,1,0,0,0,0,1,0,0,1
